Timestamp,Name,Value
11.685664,"IMU Yaw Angle (deg)",-0.016035379931330678
11.691204,"Pressure (psi)",-0.4106583072100314
11.691211,"IMU Yaw Angle (deg)",-0.016035379931330678
11.695539,"Pressure (psi)",-0.4106583072100314
11.695761,"IMU Yaw Angle (deg)",-0.016452388331294057
11.699707,"Pressure (psi)",-0.4106583072100314
11.699715,"IMU Yaw Angle (deg)",-0.016452388331294057
11.705046,"Pressure (psi)",-0.4106583072100314
11.70506,"IMU Yaw Angle (deg)",-0.01685021638870239
11.711719,"Pressure (psi)",-0.4106583072100314
11.711726,"IMU Yaw Angle (deg)",-0.01685021638870239
11.717339,"Pressure (psi)",-0.4106583072100314
11.71757,"IMU Yaw Angle (deg)",-0.017765743911266323
11.72251,"Pressure (psi)",-0.4106583072100314
11.722517,"IMU Yaw Angle (deg)",-0.017765743911266323
11.726863,"Pressure (psi)",-0.4491392801251983
11.72687,"IMU Yaw Angle (deg)",-0.017335988044738765
11.729035,"Pressure (psi)",-0.4491392801251983
11.729042,"IMU Yaw Angle (deg)",-0.017335988044738765
11.732878,"Pressure (psi)",-0.4491392801251983
11.732955,"IMU Yaw Angle (deg)",-0.017335988044738765
11.735954,"Pressure (psi)",-0.4491392801251983
11.735961,"IMU Yaw Angle (deg)",-0.017852017432451246
11.738444,"Pressure (psi)",-0.4491392801251983
11.738454,"IMU Yaw Angle (deg)",-0.017852017432451246
11.740681,"Pressure (psi)",-0.4491392801251983
11.740689,"IMU Yaw Angle (deg)",-0.017852017432451246
11.743294,"Pressure (psi)",-0.4491392801251983
11.743302,"IMU Yaw Angle (deg)",-0.017852017432451246
11.754661,"Pressure (psi)",-0.4491392801251983
11.754669,"IMU Yaw Angle (deg)",-0.017484277725219724
11.757097,"Pressure (psi)",-0.4491392801251983
11.757104,"IMU Yaw Angle (deg)",-0.017484277725219724
11.759312,"Pressure (psi)",-0.4491392801251983
11.759319,"IMU Yaw Angle (deg)",-0.017484277725219724
11.76158,"Pressure (psi)",-0.4491392801251983
11.761592,"IMU Yaw Angle (deg)",-0.017484277725219724
11.764437,"Pressure (psi)",-0.4491392801251983
11.764445,"IMU Yaw Angle (deg)",-0.017484277725219724
11.767745,"Pressure (psi)",-0.4491392801251983
11.767752,"IMU Yaw Angle (deg)",-0.017823962867259978
